Cidade,Bairro,Tipo_imovel,Area(m²),Quartos,Banheiros,Vagas,Preco(R$),Condominio(R$),Andar,Portaria 24h
Rio de Janeiro,Ipanema,Apto,109,2,3,2,1600000,1570,2,sim
Rio de Janeiro,Copacabana,Apto,223,3,3,2,1600000,3500,18,sim
Rio de Janeiro,Ipanema,Apto,100,3,3,1,1900000,2600,2,sim
Rio de Janeiro,Gávea,Apto,94,2,1,1,1300000,1000,3,sim
Rio de Janeiro,Copacabana,Apto,140,3,3,1,2300000,2400,2,sim
Rio de Janeiro,Copacabana,Apto,95,3,2,1,1450000,1580,8,sim
Rio de Janeiro,Anil,Casa,335,4,4,4,2250000,1158,2,não
Rio de Janeiro,Botafogo,Apto,35,1,1,0,385000,800,10,não
Rio de Janeiro,Barra Olímpica,Apto,76,3,3,2,650000,1300,16,sim
Rio de Janeiro,Andaraí,Apto,59,2,2,1,450000,850,1,não
Rio de Janeiro,Tijuca,Apto,61,2,2,1,580000,950,3,não
Rio de Janeiro,Barra da Tijuca,Apto,190,3,5,2,2950000,2890,4,sim
Rio de Janeiro,Barra da Tijuca,Apto,310,4,3,3,5900000,4800,6,sim
Rio de Janeiro,Barra da Tijuca,Apto,74,2,2,1,1400000,1600,13,sim
Rio de Janeiro,Méier,Apto,31,1,1,1,190000,511,4,não
Rio de Janeiro,Méier,Apto,62,2,3,1,280000,597,7,não
Rio de Janeiro,Recreio dos Bandeirantes,Apto,231,3,4,2,1380000,1491,10,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,192,2,4,2,1190000,2000,11,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,190,3,4,3,1450000,1950,5,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,103,3,3,2,1050000,1550,20,sim
Rio de Janeiro,Barra da Tijuca,Apto,817,4,5,5,13950000,3942,3,sim
Rio de Janeiro,Méier,Apto,92,3,3,3,530000,125,2,não
Rio de Janeiro,Méier,Casa,156,4,4,1,550000,160,3,não
Rio de Janeiro,Méier,Apto,65,3,2,1,270000,850,8,sim
Rio de Janeiro,Lins de Vasconcelos,Apto,65,3,2,1,210000,450,3,não
Rio de Janeiro,Botafogo,Apto,138,3,3,2,1750000,1470,14,sim
Rio de Janeiro,São Cristóvão,Apto,72,2,1,0,350000,509,4,não
Rio de Janeiro,Méier,Apto,182,3,5,2,1150000,2059,11,sim
Rio de Janeiro,Méier,Apto,123,2,2,1,430000,1117,13,sim
Rio de Janeiro,Todos os Santos,Apto,57,2,2,1,450000,842,3,sim
Rio de Janeiro,Todos os Santos,Apto,70,2,2,0,259000,0,1,não
Rio de Janeiro,Cachambi,Apto,63,2,1,1,315000,800,1,sim
Rio de Janeiro,Irajá,Apto,45,2,1,1,295000,610,8,sim
Rio de Janeiro,Lins de Vasconcelos,Apto,60,2,2,1,290000,870,7,sim
Rio de Janeiro,Méier,Apto,95,3,4,1,390000,800,3,não
Rio de Janeiro,Lins de Vasconcelos,Casa,215,3,2,5,525000,0,0,não
Rio de Janeiro,Praça Seca,Apto,60,2,2,1,175000,630,5,sim
Rio de Janeiro,Méier,Apto,103,2,2,1,435000,400,3,sim
Rio de Janeiro,Méier,Apto,73,2,2,1,265000,800,4,sim
Rio de Janeiro,Méier,Apto,83,3,3,1,520000,1179,9,sim
Rio de Janeiro,Barra Olímpica,Apto,150,4,4,2,1499000,2000,20,sim
Rio de Janeiro,Vila Isabel,Apto,67,2,2,1,300000,776,2,sim
Rio de Janeiro,Gávea,Apto,83,2,3,2,1500000,2090,2,sim
Rio de Janeiro,Leblon,Apto,120,2,2,0,1800000,1450,8,não
Rio de Janeiro,Rio Comprido,Apto,140,1,1,2,550000,1440,4,não
Rio de Janeiro,Leblon,Apto,222,4,1,2,7990000,6200,2,sim
Rio de Janeiro,Ipanema,Apto,330,3,2,2,18500000,3900,6,sim
Rio de Janeiro,Botafogo,Apto,216,3,3,2,3250000,2350,11,sim
Rio de Janeiro,Tijuca,Apto,143,3,3,1,770000,2060,3,sim
Rio de Janeiro,Barra da Tijuca,Apto,165,3,1,2,1800000,749,2,não
Rio de Janeiro,Tijuca,Apto,83,3,3,1,690000,1177,7,não
Rio de Janeiro,Jardim Botânico,Casa,450,4,1,4,9750000,0,2,não
Rio de Janeiro,Centro,Apto,42,1,1,0,315000,370,11,sim
Rio de Janeiro,Flamengo,Apto,233,4,5,0,2620000,2850,4,sim
Rio de Janeiro,Tijuca,Apto,170,3,3,1,790000,1600,3,não
Rio de Janeiro,Tijuca,Apto,110,3,3,0,400000,400,2,não
Rio de Janeiro,Tijuca,Apto,84,2,2,1,990000,1255,10,não
Rio de Janeiro,Tijuca,Apto,170,4,2,2,1780000,1500,4,sim
Rio de Janeiro,Laranjeiras,Apto,75,3,1,0,700000,928,2,não
Rio de Janeiro,Gávea,Casa,383,4,2,4,3800000,0,2,não
Rio de Janeiro,Lagoa,Apto,247,4,2,2,2700000,3000,6,sim
Rio de Janeiro,Ipanema,Apto,50,1,1,1,950000,771,3,sim
Rio de Janeiro,Lagoa,Apto,94,2,2,1,1390000,1963,2,sim
Rio de Janeiro,Barra Olímpica,Apto,68,2,2,1,530000,810,11,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,90,2,2,1,625000,1400,11,sim
Rio de Janeiro,Copacabana,Apto,350,4,1,1,2500000,5232,2,sim
Rio de Janeiro,Humaitá,Apto,150,3,3,1,2200000,1705,6,sim
Rio de Janeiro,Flamengo,Apto,85,3,1,1,850000,1080,3,não
Rio de Janeiro,Barra da Tijuca,Apto,110,3,2,2,1630000,2652,9,sim
Rio de Janeiro,Copacabana,Apto,60,2,1,0,950000,1200,4,não
Rio de Janeiro,Barra da Tijuca,Apto,430,4,1,3,2180000,3500,4,sim
Rio de Janeiro,Gávea,Casa,1050,8,10,5,6000000,550,3,não
Rio de Janeiro,Humaitá,Apto,145,3,2,2,2400000,2500,3,sim
Rio de Janeiro,Barra da Tijuca,Apto,422,4,1,3,6000000,3860,14,sim
Rio de Janeiro,Lagoa,Apto,118,3,5,1,1574000,1780,1,sim
Rio de Janeiro,Taquara,Casa,150,3,4,3,380000,150,2,não
Rio de Janeiro,Jardim Botânico,Casa,370,4,3,2,4950000,0,2,não
Rio de Janeiro,Tijuca,Apto,148,2,3,1,820000,774,10,não
Rio de Janeiro,Abolição,Casa,78,2,1,2,370000,0,0,não
Rio de Janeiro,Quintino de Bocaiúva,Casa,141,2,2,1,290000,0,0,não
Rio de Janeiro,Méier,Apto,58,2,1,1,165000,530,7,não
Rio de Janeiro,Méier,Apto,90,3,2,1,550000,1291,6,não
Rio de Janeiro,Engenho de Dentro,Apto,83,3,2,1,380000,750,7,sim
Rio de Janeiro,Cascadura,Apto,49,2,2,1,260000,1150,6,não
Rio de Janeiro,Engenho de Dentro,Apto,50,2,1,1,180000,200,3,não
Rio de Janeiro,Méier,Apto,84,3,3,1,340000,938,3,sim
Rio de Janeiro,Méier,Apto,60,2,1,0,240000,280,2,não
Rio de Janeiro,Todos os Santos,Apto,118,3,4,2,625000,1665,7,sim
Rio de Janeiro,Todos os Santos,Apto,53,2,1,1,245000,587,1,não
Rio de Janeiro,Barra da Tijuca,Apto,286,3,3,2,2940000,2200,5,sim
Rio de Janeiro,Barra da Tijuca,Casa,693,6,6,6,3000000,2575,2,não
Rio de Janeiro,Barra da Tijuca,Casa,150,4,1,2,2480000,3000,4,sim
Rio de Janeiro,Barra da Tijuca,Apto,179,3,4,2,1820000,2150,1,sim
Rio de Janeiro,Barra da Tijuca,Apto,160,3,2,2,2099999,1900,4,sim
Rio de Janeiro,Tijuca,Apto,102,3,2,0,390000,440,2,não
Rio de Janeiro,Vila Isabel,Apto,65,2,2,1,350000,855,1,sim
Rio de Janeiro,Tijuca,Apto,114,3,3,2,840000,1925,2,sim
Rio de Janeiro,Tijuca,Apto,104,3,2,1,860000,1215,8,não
Rio de Janeiro,Tijuca,Apto,114,2,2,3,840000,1925,19,sim
Rio de Janeiro,Tijuca,Apto,181,4,4,3,1700000,2000,5,sim
Rio de Janeiro,Tijuca,Apto,150,3,4,2,1500000,2800,3,sim
Rio de Janeiro,Tijuca,Apto,179,4,4,3,1260000,2900,14,sim
Rio de Janeiro,Vila Isabel,Apto,88,3,3,1,900000,1466,13,sim
Rio de Janeiro,Tijuca,Apto,100,2,2,0,455000,783,9,sim
Rio de Janeiro,Maracanã,Apto,150,3,3,2,1280000,2860,4,sim
Rio de Janeiro,Maracanã,Apto,69,2,3,1,610000,1450,5,sim
Rio de Janeiro,Tijuca,Apto,150,3,2,1,790000,1195,4,não
Rio de Janeiro,Barra da Tijuca,Apto,262,3,5,4,3179999,2500,10,sim
Rio de Janeiro,Barra da Tijuca,Apto,182,3,5,4,2499999,3031,11,sim
Rio de Janeiro,Méier,Apto,75,3,2,1,350000,1182,17,sim
Rio de Janeiro,Recreio dos Bandeirantes,Apto,75,3,2,1,550000,1200,7,não
